Date and time,Mode,Distance,Duration,Price
2022-07-18 10:44,Bus,3.8,0.18,2.0
2022-11-20 11:38,Bus,9.6,0.3,2.0
2022-06-10 18:28,Bus,2.3,0.1,2.0
2022-08-30 19:29,Bus,1.7,0.08,2.0
2022-04-26 09:38,Bus,3.3,0.12,2.0
2022-09-20 17:47,Bus,2.4,0.11,2.0
2022-12-09 13:46,Bus,1.7,0.06,2.0
2022-07-24 13:56,Bus,5.6,0.2,2.0
2022-07-16 19:15,Bus,3.6,0.15,2.0
2022-08-12 22:05,Bus,2.7,0.09,2.0
2022-08-27 20:29,Bus,4.2,0.18,2.0
2022-07-06 09:04,Bus,3.8,0.14,2.0
2022-02-24 20:55,Bus,4.4,0.18,2.0
2022-07-16 22:48,Bus,2.9,0.12,2.0
2022-09-16 12:05,Bus,2.9,0.11,2.0
2022-09-22 14:50,Bus,2.5,0.09,2.0
2022-05-10 18:24,Bus,5.5,0.21,2.0
2022-05-27 19:00,Bus,1.6,0.06,2.0
2022-11-24 08:15,Bus,1.7,0.08,2.0
2022-06-21 17:04,Bus,3.5,0.21,2.0
2022-01-17 15:44,Bus,4.3,0.19,2.0
2022-07-30 09:51,Bus,1.5,0.05,2.0
2022-11-10 08:20,Bus,1.3,0.05,2.0
2022-11-13 16:28,Bus,1.3,0.05,2.0
2022-07-30 13:33,Bus,12.0,0.56,2.0
2022-08-17 22:22,Bus,2.1,0.09,2.0
2022-06-30 14:46,Bus,1.4,0.06,2.0
2022-11-09 08:26,Bus,1.8,0.13,2.0
2022-04-30 21:06,Bus,2.9,0.12,2.0
2022-03-25 19:35,Bus,2.5,0.08,2.0
2022-10-09 22:22,Bus,0.6,0.03,2.0
2022-08-02 07:44,Bus,0.8,0.03,2.0
2022-10-30 10:34,Bus,2.3,0.1,2.0
2022-03-08 13:59,Bus,2.9,0.09,2.0
2022-07-01 18:36,Bus,2.8,0.11,2.0
2022-03-19 21:10,Bus,4.2,0.17,2.0
2022-01-04 07:45,Bus,1.5,0.07,2.0
2022-08-19 22:35,Bus,2.0,0.07,2.0
2022-01-29 23:03,Bus,5.0,0.25,2.0
2022-07-22 18:23,Bus,3.0,0.12,2.0
2022-04-15 21:33,Bus,3.4,0.16,2.0
2022-06-13 11:40,Bus,2.5,0.1,2.0
2022-04-07 15:21,Bus,4.3,0.22,2.0
2022-05-30 10:10,Bus,5.6,0.2,2.0
2022-04-15 21:53,Bus,11.6,0.49,2.0
2022-07-27 10:37,Bus,4.9,0.19,2.0
2022-06-05 08:18,Bus,5.1,0.19,2.0
2022-01-31 18:40,Bus,4.1,0.15,2.0
2022-11-17 17:36,Bus,1.1,0.06,2.0
2022-11-07 14:55,Bus,1.9,0.07,2.0
2022-09-17 20:00,Bus,4.0,0.17,2.0
2022-06-27 17:41,Bus,4.1,0.2,2.0
2022-06-06 08:07,Bus,6.5,0.24,2.0
2022-06-03 08:40,Bus,2.0,0.13,2.0
2022-04-30 21:40,Bus,2.5,0.08,2.0
2022-06-16 22:16,Bus,9.7,0.44,2.0
2022-02-09 22:17,Bus,2.0,0.08,2.0
